Date,Open,High,Low,Close,Adj Close,Volume
2021-04-01,1706.800049,1728.800049,1706.400024,1726.500000,1726.500000,720
2021-04-05,1727.900024,1729.699951,1721.900024,1727.000000,1727.000000,275
2021-04-06,1726.900024,1744.800049,1726.900024,1741.500000,1741.500000,890
2021-04-07,1742.699951,1742.699951,1733.699951,1740.099976,1740.099976,557
2021-04-08,1736.000000,1758.000000,1734.599976,1756.800049,1756.800049,1298
2021-04-09,1750.800049,1750.800049,1733.300049,1743.300049,1743.300049,484
2021-04-12,1740.800049,1740.800049,1726.699951,1731.199951,1731.199951,40
2021-04-13,1733.800049,1746.900024,1722.099976,1746.199951,1746.199951,367
2021-04-14,1741.300049,1745.900024,1732.699951,1734.900024,1734.900024,1037
2021-04-15,1740.099976,1767.900024,1740.099976,1765.400024,1765.400024,368
2021-04-16,1770.400024,1779.500000,1770.099976,1779.000000,1779.000000,625
2021-04-19,1782.099976,1788.500000,1769.400024,1769.400024,1769.400024,144
2021-04-20,1769.300049,1777.300049,1765.500000,1777.300049,1777.300049,1464
2021-04-21,1783.000000,1794.099976,1777.699951,1792.300049,1792.300049,250
2021-04-22,1794.199951,1794.199951,1779.500000,1781.199951,1781.199951,159
2021-04-23,1786.099976,1794.500000,1772.000000,1777.000000,1777.000000,332
2021-04-26,1778.000000,1779.699951,1770.800049,1779.199951,1779.199951,549
2021-04-27,1780.000000,1782.000000,1777.699951,1778.000000,1778.000000,117
2021-04-28,1768.199951,1774.000000,1764.599976,1773.199951,1773.199951,756
2021-04-29,1781.000000,1789.000000,1758.599976,1768.099976,1768.099976,196
